YolandaPodem,CEC
jordialapreso,JuntsxCat
Maialenfdez,Ciutadans
ECampdepadros,JuntsxCat
MtnezdeBrea,JuntsxCat
IreneFornos,ERC
JosepMForne,JuntsxCat
ClaraPonsati,JuntsxCat
PujolBonell,JuntsxCat
dbertranroman,Ciutadans
anna_caula,ERC
quimforn,JuntsxCat
narcis_clara,JuntsxCat
QuimTorraiPla,JuntsxCat
najat_driouech,ERC
CarlosSM_Cs,Ciutadans
ATarresSincro,JuntsxCat
Lroldansu,Ciutadans
dimasciudadano,Ciutadans
jrivasescamilla,Ciutadans
VidalAragones,CUP
_martinbarra,Ciutadans
JoseMaria_Cs,Ciutadans
muniafj,Ciutadans
nllaurado,ERC
GironaJean,Ciutadans
xescoviaplana,ERC
evabaror,ERC
MariaSirvnt,CUP
ForcadellCarme,ERC
GemmaEspigares,ERC
monicapalacin29,ERC
geli_anna,JuntsxCat
immagallardo,JuntsxCat
fjdominguez8,Ciutadans
evalmim,Ciutadans
jorditurull,JuntsxCat
toni_comin,JuntsxCat
CastellaToni,ERC
Nmartinblanco,Ciutadans
eniubo,PSC
ROSA_M_IBARRA,PSC
PuigGordi,JuntsxCat
RutRibas,ERC
Ramon_Espadaler,PSC
LauraVilchezS,Ciutadans
InesArrimadas,Ciutadans
aescarp,PSC
MeritxellSerret,ERC
xaviquinquilla,JuntsxCat	
susanabeltranga,Ciutadans
solsona_marc,JuntsxCat
rafelbruguera,PSC
CaminoFernndez,Ciutadans
MarinaBS_Cs,Ciutadans
jmespejosaav,Ciutadans
CivitiMarti,JuntsxCat
mfornells,ERC
jsolerCs,Ciutadans
blanca_vic,Ciutadans
mariavalle7,Ciutadans
mtpallares,JuntsxCat
Nataliadipp,CUP
susannasegovia,CEC
FerranPedret,PSC
elsa_artadi,JuntsxCat
raulmorenom,PSC
MartaMadrenas,JuntsxCat
mncsls,JuntsxCat
Aurora_Madaula,JuntsxCat
JnnDiaz,ERC
LlSalvado,ERC
martaribasfrias,CEC
Hector_Amello,Ciutadans
ferdeparamo,Ciutadans
carrizosacarlos,Ciutadans
albaverges,JuntsxCat
albertbatet,JuntsxCat
PepRieraFont,JuntsxCat
Noemi_delaCalle,Ciutadans
Albiol_XG,PP
bernatsole,ERC
alejandroTGN,PP
ALevySoler,PP
joansabadell,Ciutadans
aespice,Ciutadans
Ciddavid,CEC
dolorsbassac,ERC
CarlesTgna,PSC
adrianadelgadoh,ERC
wagensberg,ERC
Elisendalamany,CEC
rogertorrent,ERC
MartaMoreta,PSC
Eva_Granados,PSC
jessicaalbiach,CEC
davidmejiayra,Ciutadans
Santandreuenc,ERC
BeaSilva9,PSC
polgibert,PSC
lluisguino,JuntsxCat
XavierDomenechs,CEC
jordimunell,JuntsxCat
ernestmaragall,ERC
ftenc,JuntsxCat
oscarperis,ERC
CarmendeRivera,Ciutadans
sergiobarcelona,Ciutadans
davidpsc,PSC
joseprull,JuntsxCat
carlesral,CUP
jterrades,PSC
aliciarll,PSC
SoniaSierra02,Ciutadans
malonsocs,Ciutadans
MRodriguez_Cs,Ciutadans
asancfisac,Ciutadans
miqueliceta,PSC
francescd,JuntsxCat
josepcosta,JuntsxCat
raulromeva,ERC
junqueras,ERC
santirodriguez,PP
sergisabria,ERC
GemmaGeis,JuntsxCat
LauraBorras,JuntsxCat
NUET,CEC
gerardgomezf,ERC
martarovira,ERC
oscarordeig,PSC
KRLS,JuntsxCat
